Task,Priority,Tags,Created Date,Due Date,Alarm
Organize desk,Low,Personal,2024-07-05,2024-08-13,False
Schedule car service,Medium,Work,2023-06-23,2024-11-14,True
Take groceries,Low,Work,2024-08-02,2024-11-30,False
Attend seminar,Medium,Work,2023-01-10,2024-12-18,True
Visit doctor,Medium,Personal,2024-02-23,2024-09-27,False
Visit doctor,Medium,Work,2023-05-27,2023-09-09,True
Take groceries,Medium,Work,2023-06-30,2024-08-06,False
Take groceries,Low,Work,2023-10-30,2024-01-17,True
Take stationary,Medium,Work,2023-12-20,2024-03-31,True
Take stationary,Medium,Personal,2024-06-04,2024-06-20,True
Read book,High,Work,2024-04-30,2024-12-26,True
Call plumber,High,Personal,2024-12-05,2024-12-17,False
Complete meeting,Low,Personal,2024-03-25,2024-05-13,True
Visit doctor,High,Personal,2024-01-23,2024-04-13,False
Buy birthday gift,Medium,Work,2023-11-22,2024-08-14,False
Schedule car service,Low,Work,2023-06-06,2024-02-23,False
Buy birthday gift,Low,Work,2023-10-07,2024-04-27,True
Go to bank,Medium,Work,2023-10-02,2024-06-07,True
Buy birthday gift,Low,Personal,2023-06-21,2024-07-11,False
Work on project,Medium,Work,2023-02-11,2023-02-12,True
Plan weekend trip,Low,Personal,2023-05-16,2023-10-21,True
Prepare presentation,Medium,Work,2023-08-07,2024-11-08,True
Organize desk,Low,Personal,2023-07-06,2024-06-09,False
Renew library membership,Medium,Personal,2023-06-18,2024-03-31,True
Attend seminar,Low,Personal,2023-10-22,2024-05-06,True
Attend seminar,Medium,Personal,2024-04-05,2024-05-29,False
Organize desk,Medium,Work,2023-08-20,2024-09-08,True
Schedule car service,Medium,Work,2023-10-23,2024-10-11,True
Send emails,Low,Work,2023-08-30,2024-08-02,True
Visit doctor,Medium,Personal,2024-07-26,2024-12-04,False
Go to bank,Medium,Work,2023-05-12,2023-12-16,True
Send emails,Low,Personal,2023-02-27,2024-09-21,False
Complete meeting,Low,Work,2023-09-29,2024-06-01,True
Book flight tickets,Low,Work,2023-05-16,2024-04-10,False
Organize desk,High,Personal,2023-02-01,2024-08-19,False
Go to bank,High,Work,2023-10-09,2024-01-06,False
Complete meeting,High,Personal,2023-03-12,2023-09-14,False
Join gym session,Low,Work,2024-02-19,2024-09-01,False
Prepare presentation,Low,Work,2023-01-06,2024-10-09,False
Read book,Low,Personal,2024-02-07,2024-05-10,True
Work on project,Medium,Work,2024-06-02,2024-10-28,True
Read book,High,Personal,2023-07-13,2024-03-04,False
Organize desk,High,Work,2024-02-27,2024-03-08,True
Visit doctor,Medium,Personal,2023-06-22,2023-12-08,False
Call plumber,Low,Work,2023-07-14,2024-07-25,True
Prepare presentation,Medium,Work,2024-04-04,2024-05-02,False
Write report,Medium,Personal,2024-01-26,2024-08-14,True
Book flight tickets,Medium,Work,2023-11-25,2024-09-21,False
Go to school,High,Work,2024-03-05,2024-11-02,False
Book flight tickets,High,Personal,2023-01-02,2023-08-04,False
Call plumber,High,Personal,2023-01-24,2024-12-29,False
Call plumber,High,Work,2023-03-28,2024-01-09,True
Complete meeting,Low,Work,2023-04-14,2023-09-30,False
Organize desk,Medium,Work,2023-04-03,2024-04-12,False
Visit doctor,High,Work,2023-09-01,2024-12-20,True
Take groceries,Low,Work,2023-04-03,2023-06-27,True
Renew library membership,Medium,Personal,2023-01-20,2024-07-11,False
Call plumber,Low,Personal,2023-03-31,2024-02-19,False
Book flight tickets,Medium,Personal,2024-01-13,2024-02-05,True
Read book,Low,Work,2024-04-08,2024-10-10,True
Prepare presentation,High,Work,2023-05-20,2023-11-08,False
Renew library membership,Low,Work,2024-10-06,2024-12-30,True
Prepare presentation,Low,Personal,2024-09-29,2024-10-24,True
Complete meeting,High,Work,2023-05-14,2023-09-16,False
Renew library membership,Low,Personal,2023-02-11,2024-02-04,True
Prepare presentation,Medium,Work,2024-08-17,2024-10-17,True
Join gym session,Low,Work,2023-05-14,2024-01-20,True
Book flight tickets,Low,Work,2023-01-16,2024-06-08,True
Plan weekend trip,High,Personal,2024-11-16,2024-12-27,True
Go to school,Low,Work,2023-05-27,2024-06-03,False
Work on project,Medium,Work,2024-07-09,2024-07-25,False
Complete meeting,High,Work,2023-01-25,2023-11-12,False
Join gym session,Medium,Work,2023-03-19,2023-11-14,True
Complete meeting,Low,Personal,2023-06-25,2023-08-02,True
Send emails,Medium,Personal,2024-07-13,2024-10-23,False
Renew library membership,High,Work,2023-08-19,2024-11-03,True
Write report,High,Personal,2023-03-02,2024-02-03,True
Plan weekend trip,Medium,Personal,2023-08-15,2024-08-01,False
Schedule car service,Medium,Personal,2023-10-15,2024-09-13,False
Work on project,High,Personal,2023-02-22,2023-06-24,True
Write report,Medium,Personal,2023-10-02,2024-03-08,True
Organize desk,Low,Work,2023-03-17,2024-07-31,False
Take stationary,Medium,Work,2023-03-27,2023-10-14,True
Buy birthday gift,High,Personal,2024-10-14,2024-11-04,True
Read book,High,Personal,2023-02-02,2024-06-09,True
Go to school,High,Personal,2023-10-22,2024-04-30,False
Go to bank,High,Personal,2023-06-03,2023-07-22,True
Complete meeting,Medium,Work,2023-03-09,2024-03-25,True
Go to school,High,Work,2024-02-11,2024-03-28,False
Take stationary,Medium,Work,2023-03-07,2024-07-02,True
Book flight tickets,High,Personal,2023-11-21,2024-02-19,False
Attend seminar,Medium,Work,2023-07-02,2024-06-17,True
Read book,Low,Personal,2023-05-11,2024-07-19,False
Write report,Medium,Personal,2024-01-07,2024-03-03,False
Send emails,Low,Work,2024-07-26,2024-10-09,False
Attend seminar,High,Work,2023-11-08,2023-11-16,False
Send emails,Low,Personal,2024-04-06,2024-10-30,True
Take stationary,Medium,Work,2023-05-17,2024-03-06,False
Call plumber,High,Work,2023-10-14,2024-09-24,True
Send emails,Low,Work,2024-06-10,2024-10-19,True
Send emails,High,Work,2024-01-30,2024-08-26,True
Organize desk,High,Personal,2023-03-22,2024-01-05,False
Attend seminar,High,Work,2023-10-24,2023-11-02,False
Plan weekend trip,High,Work,2024-01-27,2024-04-15,False
Prepare presentation,Low,Personal,2024-03-16,2024-12-07,False
Visit doctor,Medium,Personal,2023-02-02,2024-05-10,False
Schedule car service,Medium,Work,2023-10-26,2024-04-27,False
Send emails,Medium,Work,2024-06-02,2024-07-28,True
Prepare presentation,High,Personal,2024-05-09,2024-10-18,True
Schedule car service,Medium,Personal,2024-02-04,2024-02-29,True
Visit doctor,Low,Work,2023-01-23,2023-08-19,False
Join gym session,Medium,Personal,2023-06-15,2023-12-16,False
Write report,Low,Work,2023-01-14,2023-05-22,True
Visit doctor,High,Personal,2024-05-02,2024-11-05,False
Organize desk,Medium,Work,2023-05-15,2024-07-20,False
Attend seminar,High,Personal,2024-06-29,2024-12-27,False
Go to school,Medium,Personal,2023-12-04,2024-01-31,False
Plan weekend trip,Medium,Work,2023-06-07,2023-06-17,False
Buy birthday gift,Low,Work,2023-06-06,2023-09-28,False
Prepare presentation,Low,Personal,2023-04-18,2023-11-06,False
Prepare presentation,Low,Work,2024-11-12,2024-11-28,False
Prepare presentation,High,Work,2023-05-03,2024-11-29,False
Attend seminar,High,Work,2023-04-19,2024-01-01,False
Send emails,Medium,Work,2023-07-09,2023-10-23,False
Write report,High,Work,2023-03-16,2024-03-08,True
Take stationary,Medium,Work,2023-02-27,2023-09-13,True
Go to bank,High,Work,2023-04-01,2024-01-10,False
Take groceries,Medium,Work,2023-11-21,2024-02-22,False
Send emails,Medium,Work,2023-05-25,2024-08-18,False
Join gym session,High,Work,2024-06-27,2024-11-09,False
Take groceries,High,Personal,2023-05-27,2024-08-05,False
Schedule car service,Medium,Personal,2023-05-16,2023-06-13,False
Read book,Low,Work,2023-03-27,2023-12-03,False
Prepare presentation,High,Personal,2024-01-23,2024-10-19,True
Visit doctor,Low,Work,2023-08-30,2024-07-16,True
Call plumber,High,Work,2023-01-01,2023-10-29,True
Schedule car service,High,Work,2023-05-09,2023-05-13,True
Renew library membership,High,Personal,2023-01-31,2023-08-19,True
Call plumber,Medium,Work,2024-01-03,2024-05-12,True
Take stationary,Medium,Work,2023-10-01,2024-09-28,True
Prepare presentation,Low,Work,2023-03-29,2024-04-22,True
Call plumber,High,Work,2023-12-21,2023-12-23,True
Schedule car service,High,Personal,2024-04-08,2024-09-25,True
Attend seminar,High,Work,2023-02-19,2024-03-27,False
Prepare presentation,Medium,Personal,2024-08-22,2024-10-15,True
Send emails,Low,Personal,2023-05-10,2024-01-22,True
Work on project,High,Work,2023-04-08,2023-07-05,False
Attend seminar,Medium,Personal,2023-11-23,2024-10-21,False
Read book,High,Personal,2023-01-22,2023-02-18,True
Plan weekend trip,High,Personal,2023-04-04,2024-09-28,False
Work on project,Medium,Work,2024-01-05,2024-03-25,False
Take stationary,Low,Personal,2023-05-31,2023-06-07,False
Take groceries,High,Personal,2023-02-17,2023-02-19,True
Send emails,High,Personal,2023-02-12,2023-06-15,True
Buy birthday gift,High,Personal,2023-09-29,2024-05-19,True
Complete meeting,Low,Work,2023-04-26,2023-06-27,False
Take groceries,Low,Personal,2024-04-10,2024-04-21,True
Work on project,High,Personal,2023-07-30,2023-11-30,True
Go to school,Low,Work,2023-01-30,2023-03-28,False
Visit doctor,Medium,Personal,2024-04-17,2024-06-05,False
Work on project,Medium,Personal,2024-06-15,2024-06-16,False
Read book,Medium,Personal,2023-01-06,2023-09-21,True
Book flight tickets,Low,Personal,2023-05-26,2024-07-23,True
Book flight tickets,Medium,Work,2023-05-02,2023-12-28,True
Organize desk,Low,Work,2024-03-02,2024-11-15,True
Call plumber,Medium,Personal,2023-11-08,2024-10-06,True
Go to school,High,Work,2024-03-06,2024-12-26,False
Visit doctor,High,Personal,2023-05-16,2023-12-22,False
Take stationary,Medium,Personal,2023-04-17,2024-12-19,True
Prepare presentation,Medium,Work,2023-02-09,2023-07-09,False
Join gym session,High,Work,2024-06-29,2024-12-20,True
Send emails,Medium,Work,2023-06-24,2024-06-30,False
Buy birthday gift,Medium,Work,2023-09-21,2024-01-28,False
Visit doctor,High,Personal,2023-02-10,2024-01-29,True
Read book,Medium,Work,2024-08-19,2024-11-05,True
Take stationary,High,Personal,2024-10-12,2024-12-24,True
Call plumber,Low,Work,2023-10-23,2024-09-23,False
Attend seminar,Low,Work,2023-10-07,2024-03-14,False
Take stationary,Medium,Personal,2023-02-10,2023-03-10,True
Renew library membership,Low,Work,2023-06-09,2024-03-14,True
Prepare presentation,High,Work,2023-05-21,2024-12-12,True
Send emails,Low,Work,2023-04-13,2024-11-03,True
Schedule car service,Medium,Work,2024-01-15,2024-05-20,True
Go to school,Medium,Work,2023-05-18,2024-12-15,False
Renew library membership,Medium,Personal,2024-03-24,2024-06-10,False
Organize desk,Low,Work,2023-09-15,2023-10-26,False
Go to bank,High,Work,2023-07-04,2024-08-22,True
Visit doctor,Medium,Personal,2023-10-02,2024-06-03,False
Complete meeting,Low,Personal,2023-12-15,2024-11-07,True
Plan weekend trip,Medium,Personal,2023-01-31,2023-02-07,True
Write report,Low,Work,2024-10-29,2024-11-16,False
Take groceries,Medium,Work,2024-04-04,2024-06-13,False
Renew library membership,Low,Personal,2023-09-23,2024-11-28,True
Go to school,Medium,Work,2023-03-03,2024-09-22,False
Schedule car service,Medium,Work,2023-10-05,2023-10-16,False
Call plumber,High,Personal,2024-10-24,2024-11-07,False
Book flight tickets,Medium,Personal,2024-01-11,2024-05-08,False
Work on project,Low,Work,2023-09-04,2024-06-11,True
Join gym session,High,Personal,2023-08-01,2024-11-26,False
Take stationary,Medium,Work,2024-07-01,2024-12-30,False
Send emails,Medium,Personal,2023-01-07,2024-09-18,True
Renew library membership,Low,Work,2023-09-29,2024-11-23,True
Read book,High,Work,2024-08-26,2024-11-19,True
Prepare presentation,Low,Work,2024-01-23,2024-09-30,True
Take stationary,High,Personal,2023-07-06,2024-07-05,False
Write report,Medium,Work,2023-08-25,2023-11-15,True
Book flight tickets,Low,Work,2023-12-01,2024-06-18,False
Go to school,Medium,Personal,2023-04-04,2023-06-02,True
Work on project,High,Personal,2023-07-22,2024-08-30,False
Schedule car service,Low,Personal,2023-07-22,2023-10-27,False
Write report,Medium,Work,2024-09-30,2024-10-23,True
Schedule car service,High,Work,2024-06-28,2024-07-21,True
Go to bank,High,Work,2024-02-23,2024-09-28,False
Prepare presentation,High,Personal,2024-02-28,2024-08-18,False
Visit doctor,Medium,Work,2023-04-14,2023-06-16,False
Schedule car service,Low,Work,2024-01-18,2024-09-13,False
Buy birthday gift,Medium,Work,2023-03-01,2024-11-13,True
Join gym session,High,Personal,2023-11-16,2024-10-04,True
Schedule car service,High,Personal,2024-06-25,2024-11-27,False
Read book,Low,Personal,2023-06-27,2024-03-30,True
Write report,Low,Personal,2023-10-28,2023-11-07,False
Complete meeting,Medium,Work,2023-06-01,2023-12-18,False
Attend seminar,High,Personal,2023-09-25,2024-10-31,True
Book flight tickets,Medium,Personal,2023-04-30,2023-05-24,False
Schedule car service,Medium,Personal,2023-04-26,2023-05-19,True
Plan weekend trip,Medium,Work,2023-03-17,2024-11-27,True
Prepare presentation,Medium,Personal,2023-02-23,2024-11-09,True
Prepare presentation,Medium,Personal,2023-01-21,2023-01-28,False
Read book,Low,Personal,2023-08-16,2024-11-26,True
Take stationary,Low,Personal,2023-11-04,2024-02-08,True
Call plumber,Low,Personal,2024-06-08,2024-07-10,False
Organize desk,High,Work,2023-05-16,2024-03-04,True
Take stationary,Low,Work,2023-03-20,2024-12-18,False
Prepare presentation,Low,Personal,2024-04-20,2024-08-02,False
Organize desk,Medium,Personal,2023-10-30,2024-08-07,True
Plan weekend trip,Medium,Work,2023-07-03,2024-01-20,False
Write report,Medium,Work,2023-02-20,2023-07-17,False
Visit doctor,High,Work,2023-01-17,2023-03-25,True
Prepare presentation,Low,Personal,2023-04-06,2024-02-02,False
Book flight tickets,High,Personal,2023-08-02,2024-06-27,False
Take groceries,Low,Personal,2023-05-25,2024-04-23,False
Buy birthday gift,Low,Personal,2023-01-15,2024-03-02,True
Organize desk,High,Personal,2023-11-16,2024-12-06,False
Visit doctor,High,Personal,2024-06-23,2024-09-11,True
Prepare presentation,Low,Work,2023-07-07,2024-05-08,False
Go to bank,High,Personal,2023-01-05,2024-01-14,False
Book flight tickets,High,Work,2023-01-02,2024-04-30,False
Visit doctor,Medium,Personal,2024-04-03,2024-04-21,False
Visit doctor,Medium,Personal,2023-11-06,2024-01-31,True
Write report,High,Personal,2023-02-03,2024-09-13,True
Work on project,High,Work,2023-07-19,2024-06-11,False
Prepare presentation,Low,Work,2023-01-23,2023-02-20,False
Take stationary,Medium,Personal,2023-06-29,2023-07-26,True
Call plumber,High,Personal,2023-01-18,2023-05-30,True
Take stationary,Low,Work,2024-04-12,2024-04-16,True
Go to school,High,Work,2023-02-01,2024-12-12,False
Renew library membership,Medium,Work,2023-04-30,2024-05-14,True
Plan weekend trip,High,Personal,2023-02-24,2024-05-01,True
Complete meeting,Medium,Work,2023-02-03,2024-07-04,True
Visit doctor,High,Work,2023-04-06,2023-06-15,False
Complete meeting,Medium,Work,2023-10-20,2024-03-17,True
Attend seminar,High,Work,2024-05-29,2024-09-22,False
Schedule car service,Low,Work,2023-10-13,2024-03-19,True
Send emails,High,Work,2023-10-21,2024-02-16,True
Call plumber,Low,Work,2023-07-02,2023-07-16,False
Renew library membership,High,Work,2024-03-07,2024-12-27,False
Plan weekend trip,Low,Work,2024-01-10,2024-07-07,True
Work on project,High,Personal,2023-02-15,2023-12-20,False
Prepare presentation,High,Work,2023-08-11,2024-03-04,False
Take stationary,High,Work,2023-02-05,2024-09-30,True
Book flight tickets,Medium,Work,2024-02-05,2024-08-31,False
Visit doctor,Medium,Work,2023-04-25,2024-03-01,False
Visit doctor,Low,Personal,2024-11-06,2024-12-15,False
Send emails,Low,Work,2023-02-26,2023-06-04,True
Work on project,Medium,Personal,2023-11-17,2024-09-29,True
Buy birthday gift,Medium,Work,2023-04-07,2023-12-30,False
Visit doctor,High,Personal,2023-04-13,2024-12-12,False
Buy birthday gift,Low,Personal,2023-05-01,2024-02-21,True
Take stationary,Medium,Work,2023-05-03,2024-09-02,True
Call plumber,High,Personal,2023-06-19,2024-10-12,True
Call plumber,Low,Work,2023-06-12,2024-05-30,True
Go to school,Low,Work,2023-09-14,2024-09-27,False
Work on project,High,Work,2023-08-02,2024-04-29,False
Buy birthday gift,Low,Work,2024-01-29,2024-06-05,True
Book flight tickets,Medium,Work,2023-04-11,2024-12-08,False
Plan weekend trip,High,Personal,2023-07-29,2024-06-06,False
Renew library membership,Medium,Personal,2023-06-21,2024-05-06,False
Schedule car service,Medium,Work,2024-02-24,2024-08-30,True
Prepare presentation,Medium,Work,2023-08-18,2024-10-24,False
Visit doctor,Low,Work,2023-12-12,2024-12-03,True
Work on project,High,Work,2023-07-10,2024-01-18,True
Book flight tickets,Low,Work,2023-12-02,2024-07-29,False
Call plumber,Medium,Personal,2023-11-24,2024-05-08,False
Renew library membership,Medium,Work,2023-09-24,2024-12-17,False
Book flight tickets,High,Personal,2024-11-16,2024-11-23,False
Take stationary,Low,Work,2023-04-10,2023-10-18,False
Join gym session,High,Work,2023-12-12,2024-01-16,False
Schedule car service,Medium,Personal,2023-03-05,2023-04-09,False
Buy birthday gift,High,Personal,2023-10-09,2024-06-21,False
Call plumber,Medium,Work,2023-10-24,2024-02-25,False
Take stationary,Medium,Work,2023-07-16,2023-12-12,True
Schedule car service,High,Work,2023-06-12,2024-01-02,False
Take stationary,Medium,Personal,2023-01-20,2024-04-13,True
Organize desk,Low,Personal,2024-07-31,2024-08-20,True
Go to bank,Medium,Work,2023-07-28,2024-02-13,False
Organize desk,Low,Personal,2023-10-25,2024-07-06,True
Send emails,Medium,Work,2023-03-07,2023-08-03,True
Join gym session,Low,Personal,2023-05-11,2023-10-26,False
Read book,Low,Work,2023-02-06,2024-04-22,True
Take stationary,High,Personal,2023-12-01,2024-07-06,True
Write report,Medium,Personal,2024-07-08,2024-07-24,True
Work on project,Low,Personal,2024-06-05,2024-11-21,True
Take groceries,Low,Work,2023-06-13,2024-01-14,False
Go to school,Low,Personal,2023-05-20,2024-04-08,True
Book flight tickets,Low,Work,2023-06-15,2024-06-19,False
Read book,High,Personal,2024-06-04,2024-06-14,False
Complete meeting,Low,Personal,2024-03-29,2024-05-30,False
Go to bank,Medium,Personal,2024-06-27,2024-11-18,True
Join gym session,Low,Personal,2023-01-04,2023-12-01,True
Write report,Medium,Personal,2023-10-17,2024-05-11,True
Book flight tickets,High,Work,2024-04-27,2024-10-13,False
Go to bank,High,Work,2023-03-05,2024-03-15,True
Go to bank,High,Work,2023-07-16,2024-11-02,True
Complete meeting,Low,Work,2023-08-18,2024-07-30,False
Write report,High,Personal,2024-04-14,2024-10-12,False
Call plumber,Medium,Work,2023-02-07,2024-03-31,True
Visit doctor,Medium,Personal,2023-06-20,2024-05-21,True
Take groceries,Low,Personal,2023-02-02,2024-12-19,False
Join gym session,Medium,Work,2023-02-06,2024-04-02,True
Organize desk,Low,Personal,2023-07-12,2024-07-08,False
Send emails,Low,Personal,2024-01-17,2024-04-18,False
Schedule car service,Medium,Work,2023-01-16,2023-07-19,False
Organize desk,High,Personal,2024-01-04,2024-11-02,True
Renew library membership,High,Work,2023-03-02,2024-02-11,True
Read book,Low,Personal,2023-02-17,2023-08-30,False
Take groceries,Low,Work,2024-06-14,2024-09-12,True
Organize desk,High,Work,2023-10-02,2023-10-18,True
Join gym session,High,Personal,2023-09-19,2024-01-28,False
Go to school,High,Work,2023-05-02,2023-12-25,True
Join gym session,Medium,Personal,2024-03-19,2024-06-10,False
Go to school,Low,Personal,2023-03-20,2024-05-06,True
Join gym session,High,Work,2024-02-27,2024-08-05,False
Read book,Medium,Work,2023-12-31,2024-07-31,False
Call plumber,Medium,Work,2023-08-05,2023-09-07,True
Complete meeting,Low,Work,2023-04-19,2024-06-14,False
Call plumber,Medium,Personal,2024-11-22,2024-12-16,True
Buy birthday gift,Low,Work,2023-08-20,2024-07-31,True
Visit doctor,Medium,Personal,2023-01-23,2024-05-28,False
Visit doctor,High,Personal,2023-03-30,2024-05-16,False
Schedule car service,High,Work,2023-07-25,2024-10-29,True
Attend seminar,Low,Personal,2023-05-25,2024-07-05,True
Work on project,High,Personal,2023-03-22,2024-04-08,False
Go to bank,Medium,Personal,2024-10-03,2024-10-24,False
Go to bank,Medium,Personal,2024-04-27,2024-10-03,True
Go to bank,Low,Work,2023-01-02,2024-10-18,True
Plan weekend trip,Low,Work,2023-02-26,2024-10-28,True
Visit doctor,High,Work,2024-05-29,2024-08-08,True
Buy birthday gift,Medium,Work,2023-03-07,2023-03-12,True
Read book,High,Work,2024-09-28,2024-10-29,True
Join gym session,High,Personal,2023-04-22,2024-11-18,True
Go to bank,High,Personal,2023-05-10,2024-09-02,True
Buy birthday gift,Low,Work,2023-04-14,2024-11-13,True
Visit doctor,High,Work,2024-02-03,2024-05-30,True
Prepare presentation,Medium,Personal,2023-01-17,2024-08-20,False
Complete meeting,Low,Work,2024-04-24,2024-08-02,False
Take groceries,Medium,Personal,2023-03-25,2024-05-08,True
Visit doctor,Low,Work,2024-02-06,2024-08-11,False
Go to bank,Low,Personal,2023-08-26,2024-07-24,True
Attend seminar,Medium,Personal,2023-08-04,2024-07-02,True
Book flight tickets,Low,Work,2023-04-21,2024-12-19,True
Schedule car service,Low,Personal,2023-10-07,2024-11-05,True
Organize desk,Low,Work,2024-11-08,2024-12-28,True
Schedule car service,Low,Work,2023-01-10,2024-04-14,False
Send emails,High,Personal,2023-03-30,2024-11-03,True
Read book,Low,Work,2024-08-29,2024-11-05,False
Send emails,High,Personal,2024-07-11,2024-11-04,False
Take stationary,Medium,Personal,2023-04-06,2024-11-17,True
Organize desk,Medium,Personal,2023-02-04,2024-07-24,True
Send emails,Low,Work,2023-01-06,2023-04-08,False
Work on project,Medium,Work,2024-08-13,2024-10-22,False
Prepare presentation,Medium,Personal,2024-04-16,2024-08-27,False
Send emails,Medium,Personal,2023-04-08,2024-11-01,False
Read book,Medium,Personal,2023-04-05,2024-12-27,False
Go to school,High,Personal,2023-12-08,2024-11-22,True
Visit doctor,Low,Work,2024-02-02,2024-09-18,True
Take groceries,High,Personal,2024-02-23,2024-11-01,False
Prepare presentation,High,Personal,2023-03-23,2024-12-20,False
Complete meeting,Medium,Personal,2023-01-08,2024-06-18,False
Book flight tickets,Medium,Personal,2023-07-15,2024-06-08,True
Schedule car service,Medium,Work,2023-10-02,2024-04-14,False
Attend seminar,High,Personal,2023-05-11,2023-07-27,True
Attend seminar,Medium,Work,2023-05-24,2023-06-19,False
Go to school,High,Work,2023-05-03,2024-03-23,False
Work on project,Low,Work,2023-02-25,2024-05-28,False
Renew library membership,Low,Work,2024-06-03,2024-12-26,False
Go to school,High,Work,2023-08-03,2024-01-07,True
Prepare presentation,Medium,Work,2023-01-01,2024-09-09,True
Schedule car service,Medium,Work,2023-11-23,2024-06-14,True
Take stationary,Low,Personal,2023-08-01,2024-01-17,False
Join gym session,Low,Work,2023-01-07,2023-06-01,False
Buy birthday gift,Low,Work,2024-01-08,2024-03-04,False
Take groceries,High,Work,2023-02-05,2023-03-03,False
Go to bank,High,Personal,2023-09-07,2024-04-27,False
Send emails,High,Personal,2023-06-11,2023-12-03,True
Attend seminar,High,Work,2023-09-08,2024-01-02,True
Renew library membership,High,Work,2024-02-27,2024-09-06,True
Read book,Medium,Work,2023-04-25,2024-05-16,False
Visit doctor,Medium,Work,2023-09-03,2024-05-06,False
Organize desk,Low,Personal,2024-02-26,2024-02-29,False
Join gym session,Medium,Personal,2023-03-04,2024-12-04,False
Plan weekend trip,High,Work,2023-07-27,2024-05-17,False
Attend seminar,Low,Personal,2024-04-12,2024-07-28,False
Take stationary,Low,Work,2024-04-03,2024-05-27,True
Prepare presentation,Medium,Work,2024-08-07,2024-08-21,False
Complete meeting,High,Work,2023-04-06,2023-06-16,False
Go to school,Low,Work,2023-10-22,2024-05-10,False
Write report,Low,Personal,2023-08-16,2024-07-05,False
Complete meeting,High,Work,2023-08-31,2024-10-04,True
Organize desk,Low,Work,2023-11-12,2024-03-16,True
Buy birthday gift,High,Personal,2023-03-18,2024-03-06,False
Schedule car service,Medium,Personal,2023-10-15,2024-05-12,False
Join gym session,Medium,Personal,2024-06-22,2024-11-17,True
Join gym session,Low,Personal,2023-09-06,2023-10-01,True
Visit doctor,Low,Personal,2024-07-15,2024-09-19,False
Take stationary,High,Work,2024-03-09,2024-04-14,True
Attend seminar,Low,Personal,2024-05-05,2024-12-08,True
Plan weekend trip,High,Personal,2023-08-31,2023-10-30,True
Take groceries,High,Personal,2023-07-16,2023-11-19,True
Work on project,High,Work,2023-11-16,2024-08-25,False
Go to bank,High,Personal,2023-07-20,2023-11-08,False
Send emails,Medium,Work,2023-02-17,2024-11-09,True
Send emails,High,Personal,2024-05-05,2024-05-15,True
Prepare presentation,Low,Work,2023-06-02,2024-08-21,False
Prepare presentation,High,Personal,2023-10-13,2023-12-21,False
Complete meeting,Low,Work,2023-09-30,2024-09-22,True
Go to bank,Low,Work,2023-04-30,2023-09-26,False
Renew library membership,Medium,Work,2023-02-04,2024-08-16,True
Book flight tickets,Low,Work,2023-01-19,2024-01-26,True
Prepare presentation,Medium,Personal,2023-01-27,2023-02-07,True
Work on project,High,Personal,2023-04-03,2023-10-11,True
Buy birthday gift,Low,Work,2023-05-09,2024-11-10,True
Organize desk,High,Personal,2023-02-23,2024-09-01,True
Visit doctor,Medium,Work,2023-04-22,2023-07-19,False
Book flight tickets,Low,Work,2023-10-30,2024-04-09,False
Work on project,Low,Personal,2023-01-29,2023-03-22,False
Write report,Low,Personal,2023-01-08,2024-05-25,False
Buy birthday gift,Medium,Work,2023-01-04,2023-10-09,True
Schedule car service,Medium,Work,2023-08-31,2024-11-29,False
Schedule car service,Medium,Work,2023-12-09,2024-10-04,False
Take stationary,High,Personal,2023-05-07,2024-09-06,True
Take stationary,Medium,Personal,2023-04-15,2023-08-08,True
Attend seminar,Low,Personal,2023-03-12,2023-10-21,False
Organize desk,Medium,Personal,2023-11-20,2024-05-14,False
Buy birthday gift,Medium,Work,2023-02-20,2024-09-13,True
Work on project,Low,Work,2023-06-16,2024-08-30,True
Attend seminar,High,Personal,2023-08-10,2024-05-25,True
Schedule car service,Low,Personal,2024-02-27,2024-03-27,True
Send emails,Medium,Work,2024-06-03,2024-07-04,False
Take groceries,Medium,Work,2023-06-26,2023-12-03,False
Call plumber,High,Work,2023-05-30,2024-01-29,False
Read book,High,Work,2023-05-05,2023-07-14,True
Write report,Low,Personal,2023-04-23,2024-04-10,False
Plan weekend trip,Low,Work,2024-02-17,2024-11-10,False
Take groceries,High,Work,2023-06-29,2023-10-10,False
Read book,Low,Personal,2023-03-08,2023-08-02,True
Take groceries,Medium,Work,2023-07-31,2024-02-22,False
Attend seminar,Medium,Work,2023-05-25,2024-06-19,False
Prepare presentation,Low,Personal,2024-03-14,2024-10-14,False
Work on project,Medium,Work,2023-08-02,2023-10-16,True
Visit doctor,High,Personal,2023-02-24,2024-03-03,False
Call plumber,High,Personal,2023-04-28,2023-10-28,False
Write report,Low,Personal,2023-09-30,2024-12-04,True
Attend seminar,Low,Personal,2024-10-10,2024-12-13,True
Visit doctor,Low,Personal,2023-06-13,2023-08-07,True
Send emails,Low,Personal,2023-04-02,2024-04-12,True
Call plumber,High,Personal,2024-02-06,2024-03-10,True
Prepare presentation,Medium,Personal,2023-05-05,2024-11-17,False
Call plumber,Medium,Work,2023-04-06,2024-08-05,True
Take stationary,Medium,Work,2023-01-06,2023-04-25,True
Schedule car service,Low,Personal,2023-05-14,2024-02-18,False
Prepare presentation,Medium,Work,2023-12-12,2024-06-23,False
Take groceries,Low,Work,2023-11-01,2024-11-28,False
Complete meeting,High,Work,2023-11-21,2023-12-28,True
